PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;60.00;11680001;11699999;114;16
;70.00;11680001;11699999;114;16
;80.00;11680001;11699999;121,18;16
;90.00;11680001;11699999;121,18;16
;100.00;11680001;11699999;121,18;16
;10.00;11700001;11729999;48,53;4
;20.00;11700001;11729999;57,72;4
;35.00;11700001;11729999;70,77;4
;50.00;11700001;11729999;83,12;4
;70.00;11700001;11729999;92,58;4
;10.00;11730000;11739999;59,3;16
;20.00;11730000;11739999;67,8;16
;30.00;11730000;11739999;67,8;16
;40.00;11730000;11739999;90,89;16
;50.00;11730000;11739999;90,89;16
;60.00;11730000;11739999;114;16
;70.00;11730000;11739999;114;16
;80.00;11730000;11739999;121,18;16
;90.00;11730000;11739999;121,18;16
;100.00;11730000;11739999;121,18;16
;10.00;11730000;11739999;48,53;5
;20.00;11730000;11739999;57,72;5
;35.00;11730000;11739999;70,77;5
;50.00;11730000;11739999;83,12;5
;70.00;11730000;11739999;92,58;5
;10.00;11740000;11749999;59,3;16
;20.00;11740000;11749999;67,8;16
;30.00;11740000;11749999;67,8;16
;40.00;11740000;11749999;90,89;16
;50.00;11740000;11749999;90,89;16
;60.00;11740000;11749999;114;16
;70.00;11740000;11749999;114;16
;80.00;11740000;11749999;121,18;16
;90.00;11740000;11749999;121,18;16
;100.00;11740000;11749999;121,18;16
;10.00;11740000;11749999;48,53;5
;20.00;11740000;11749999;57,72;5
;35.00;11740000;11749999;70,77;5
;50.00;11740000;11749999;83,12;5
;70.00;11740000;11749999;92,58;5
;10.00;11750000;11759999;59,3;16
;20.00;11750000;11759999;67,8;16
;30.00;11750000;11759999;67,8;16
;40.00;11750000;11759999;90,89;16
